date,yfd,rtxlc,market,tbond,rf
20151231,3.41,-2.42,4.92,0.9491,0.183333333
20160129,-30.97,-27.49,-25.67,0.4251,0.183333333
20160229,-3.85,-1.31,-2.31,0.335,0.183333333
20160331,9.36,3.83,14.64,0.5805,0.176666667
20160429,-5.31,-3.03,-1.72,0.0377,0.1775
20160531,4.08,-1,-0.48,0.3185,0.175
20160630,4.6,3.63,3.2,0.3098,0.175
20160729,-7.79,-4.21,0.52,0.4909,0.171666667
20160831,1.33,1.55,4.24,0.4891,0.165833333
20160930,-5.35,-3.64,-1.71,0.3197,0.165833333
20161031,1.98,3.19,2.89,0.6223,0.165
20161130,1.42,-0.88,3.8,-0.224,0.191666667
20161231,-5.2,-7.31,-5.58,-0.3597,0.205833333
20170126,-0.57,2.14,-0.51,-0.0498,0.1975
20170228,2.28,-0.39,3.11,0.1981,0.213333333
20170331,1.21,0,-0.75,0.0984,0.2375
20170428,0.11,0.91,-3.12,0.2715,0.22
20170531,-2.48,0.94,-3.21,-0.2869,0.234166667
20170630,6.4,4.92,4.69,0.1605,0.254166667
20170731,0.23,0.62,1.47,-0.0298,0.243333333
20170831,3.42,-0.42,2.96,0.2178,0.238333333
20170930,3.31,2.65,1.11,-0.0111,0.270833333
20171031,4.25,3.08,1.11,0.074,0.263333333
20171130,-1.62,0.03,-3.11,-0.0044,0.250833333
20171231,0,0.74,-0.35,0.0261,0.345833333
20180131,3.4,7.82,1.42,0.2643,0.241666667
20180228,-5.07,-6.67,-4.76,0.4796,0.2275
20180331,-1.58,-1.72,-0.03,0.5656,0.2575
20180427,-3.38,-1.88,-3.81,0.5881,0.271666667
20180531,1.21,2.72,-0.06,0.4744,0.240833333
20180630,-6.98,-6.01,-8.44,0.4523,0.2525
20180731,-1.03,-1.47,0.14,0.5868,0.17
20180831,-7.23,-4.51,-6.52,0.1083,0.164166667
20180930,2.9,0.82,1.26,0.1932,0.1775
20181031,-13.62,-4.66,-9.29,0.4315,0.1575
20181130,-1.1,0.61,2.23,0.63,0.1875
20181231,-4.37,-3.02,-4.78,0.7047,0.199166667
20190131,3.82,2.01,2.61,0.6368,0.179166667
20190228,12.69,10.4,17.93,0.2652,0.1675
20190331,7.53,5.79,8.09,0.3533,0.195
20190430,-1.89,1.32,-1.44,-0.003,0.1725
20190531,-6.72,-6.22,-6.37,0.3122,0.180833333
20190630,7.5,0.24,3.36,0.439,0.173333333
20190731,4.66,4.66,-0.27,0.409,0.181666667
20190830,8.58,0.64,-0.6,0.5506,0.1925
20190930,-1.32,-1.76,0.79,0.3155,0.1825
20191031,-0.93,-0.31,0.87,0.1324,0.188333333
20191129,-2.57,-2.58,-1.59,0.3898,0.166666667
